"IDFolio";"IDPersona";"AgnoNacimiento";"IDSexo";"IDRelacionJefeHogar";"IDEstudios";"IDLugarEstudios";"IDTituloProfesional";"IDActividad";"IDJornadaTrabajo";"Ingreso";"IDTipoIngreso";"Observaciones";"EfectuaViajes";"NumeroViajes";"Factor"
38624714;1;1975;2;0;4;-1;0;4;1;200000;1;1;1;2;30,92
38624714;2;1992;1;2;5;-1;1;4;1;180000;1;0;1;5;15,20
38624714;3;1995;2;2;4;4;0;14;0;0;2;0;1;4;17,58
38624715;1;1973;1;0;7;-1;1;4;1;800000;1;1;0;0;32,65
38624715;2;1972;2;1;4;-1;0;11;0;0;2;1;1;10;29,32
38624715;3;1991;2;2;6;6;0;14;0;0;2;0;1;2;17,23
38624715;4;1995;2;2;4;4;0;14;0;0;2;0;1;2;16,67
38624715;5;2004;1;2;3;4;0;14;0;0;2;1;1;4;29,20
38624716;1;1973;1;0;7;-1;1;1;1;600000;1;1;1;2;63,44
38624717;1;1970;2;0;4;-1;0;4;2;400000;1;0;1;6;21,97
38624717;2;1989;1;2;6;6;0;14;0;0;2;0;1;2;17,93
38624717;3;1991;1;2;6;6;0;14;0;0;2;1;1;2;17,93
38624717;4;2005;2;2;2;3;0;14;0;0;2;0;1;4;29,10
38625101;1;1968;1;0;4;-1;0;4;1;680000;1;1;1;4;18,90
38625101;2;1975;2;1;4;-1;0;11;0;0;2;1;1;5;29,32
38625101;3;1996;2;2;4;4;0;14;0;0;2;1;1;3;16,67
38625101;4;1991;2;2;6;6;0;14;0;0;2;1;1;2;17,23
38625101;5;2007;1;2;2;2;0;14;0;0;2;1;1;5;28,69
38625102;1;1949;2;0;7;-1;1;4;1;450000;1;1;1;2;14,73
38625102;2;1978;2;2;5;-1;1;3;1;500000;1;1;1;6;29,32
38625102;3;1984;1;2;7;-1;1;4;1;800000;1;1;0;0;32,65
38625102;4;2000;2;3;3;4;0;14;0;0;2;1;1;2;23,39
38625102;5;1930;2;3;3;-1;0;9;0;116000;1;1;0;0;14,75
38625103;1;1973;1;0;4;-1;0;4;1;450000;1;0;1;5;40,62
38625103;2;1982;2;1;4;-1;0;11;0;0;2;1;0;0;36,47
38625103;3;2008;2;2;1;-1;0;13;0;0;2;1;0;0;37,81
38625103;4;1989;1;3;4;-1;0;4;1;300000;1;0;1;3;17,93
